cache_misses,cache_references,vfs_write,vfs_read,tcp_send_bytes,tcp_recv_bytes,l1_dcache_loads,l1_dcache_load_misses,l1_icache_load_misses,llc_load_misses,llc_loads,cycles,instructions,memory
0,0,0,0,0,0,34781700,5115686,10798540,456322,636622,232812243,118270664,113424
0,0,0,0,0,0,36116356,5068126,12922410,571317,755386,267287609,118502882,113424
0,0,0,0,0,0,40309325,5551095,13363821,516170,714042,270540141,139320178,113424
0,0,0,0,0,0,32113129,4840003,11433277,465148,633118,220136565,104584578,113424
0,0,0,0,0,0,33131890,4714328,11330963,488617,629900,228303691,110737345,113424
0,0,0,0,0,0,39022333,4772411,11908945,470465,666035,252496880,137005570,113424
2730000,5210000,38260060,26047873,54711939,914878314629,25783033,3740289,9916216,377929,565100,189305419,84116432,113424
2260000,4660000,24917912,4348557,29607747,1013641353060,28187112,3650146,9822608,368762,541412,196624706,97752994,113424
2450000,4070000,25397912,3527190,34536440,923450752251,30482377,4389948,10955145,431898,590951,213606473,101353312,113424
2440000,4150000,31354281,2653348,34709454,721587355064,30135225,4066758,10406270,388755,545921,204266427,101418844,113424
2320000,3860000,23479931,1473354,27383848,760232842499,42737610,5917577,13679853,533936,722793,267632141,148431775,113424
2940000,4600000,36313716,1756290,42417608,751659357943,29983949,3955756,10675121,393279,561093,209685582,99289410,113424
2760000,4740000,18100268,2163232,20934010,828949715685,35115500,4234629,10467229,368113,570859,216032791,123610698,113424
2860000,4640000,24919258,3910368,31530863,712993704346,27247292,3570701,9903416,352753,518981,192425855,90438420,113424
2600000,4340000,35700120,3932818,29853244,682930537799,37609728,4817408,12197863,413071,586046,237286475,129691739,113424
950000,1830000,23059690,26668226,20135637,257717511382,39184683,5973651,13398142,513064,727234,248075274,131261986,113424

